procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 2613456  28692 492536    0    0     0     3  742 2014 57 43  0  0  0 2019-10-29 01:46:07
 4  0      0 2615056  28700 492588    0    0     0     3  746 2012 59 41  0  0  0 2019-10-29 01:46:12
 4  0      0 2613900  28708 492648    0    0     0    58  821 2269 58 42  0  0  0 2019-10-29 01:46:17
 3  0      0 2615700  28716 492704    0    0     0    10  764 2144 60 40  0  0  0 2019-10-29 01:46:22
 5  0      0 2614596  28724 492748    0    0     0     3  786 2182 61 39  0  0  0 2019-10-29 01:46:27
 4  0      0 2616308  28732 492796    0    0     0     3  778 2079 59 41  0  0  0 2019-10-29 01:46:32
 3  0      0 2615228  28740 492844    0    0     0     3  799 2150 58 42  0  0  0 2019-10-29 01:46:37
 5  0      0 2614244  28748 492908    0    0     0     3  793 2270 60 40  0  0  0 2019-10-29 01:46:42
 3  0      0 2615836  28756 492964    0    0     0    62  771 2160 61 39  0  0  0 2019-10-29 01:46:47
 4  0      0 2614592  28764 493024    0    0     0     6  784 2214 58 42  0  0  0 2019-10-29 01:46:52
 4  0      0 2613248  28772 493076    0    0     0     6  788 2097 60 40  0  0  0 2019-10-29 01:46:57
 4  0      0 2615136  28780 493128    0    0     0     6  764 2125 58 42  0  0  0 2019-10-29 01:47:02
 7  0      0 2613888  28788 493180    0    0     0    46  785 2157 60 40  0  0  0 2019-10-29 01:47:07
 4  0      0 2615552  28796 493232    0    0     0     5  805 2175 61 39  0  0  0 2019-10-29 01:47:12
 4  0      0 2614220  28804 493284    0    0     0     3  763 2163 56 44  0  0  0 2019-10-29 01:47:17
 3  0      0 2615596  28812 493328    0    0     0     3  733 1989 60 40  0  0  0 2019-10-29 01:47:22
 3  0      0 2614480  28820 493380    0    0     0     3  852 2354 60 40  0  0  0 2019-10-29 01:47:27
 3  0      0 2613344  28828 493436    0    0     0     8  797 2213 59 41  0  0  0 2019-10-29 01:47:32
 3  0      0 2612168  28836 493496    0    0     0    56  774 2135 58 42  0  0  0 2019-10-29 01:47:37
 4  0      0 2614192  28844 493548    0    0     0    14  789 2148 60 40  0  0  0 2019-10-29 01:47:42
 4  0      0 2613208  28852 493608    0    0     0     4  813 2255 60 40  0  0  0 2019-10-29 01:47:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 2612344  28860 493656    0    0     0     3  821 2288 58 42  0  0  0 2019-10-29 01:47:52
 5  0      0 2614488  28868 493704    0    0     0     3  803 2247 58 42  0  0  0 2019-10-29 01:47:57
 3  0      0 2613116  28876 493764    0    0     0     3  775 2138 57 43  0  0  0 2019-10-29 01:48:02
 4  0      0 2615044  28884 493820    0    0     0    57  786 2188 59 41  0  0  0 2019-10-29 01:48:07
 4  0      0 2613956  28892 493880    0    0     0     6  801 2201 58 42  0  0  0 2019-10-29 01:48:12
 4  0      0 2612708  28900 493932    0    0     0     7  765 2170 59 41  0  0  0 2019-10-29 01:48:17
 4  0      0 2614820  28908 493988    0    0     0     6  794 2221 58 42  0  0  0 2019-10-29 01:48:22
 3  0      0 2613792  28916 494040    0    0     0     3  834 2299 58 42  0  0  0 2019-10-29 01:48:27
 4  0      0 2612744  28924 494088    0    0     0     3  790 2186 58 42  0  0  0 2019-10-29 01:48:32
 3  0      0 2614248  28932 494156    0    0     0    62  765 2134 56 44  0  0  0 2019-10-29 01:48:37
 3  0      0 2613292  28940 494208    0    0     0     5  792 2227 58 42  0  0  0 2019-10-29 01:48:42
 4  0      0 2612372  28948 494260    0    0     0     5  805 2255 58 42  0  0  0 2019-10-29 01:48:47
 3  0      0 2614372  28956 494316    0    0     0    12  801 2186 59 41  0  0  0 2019-10-29 01:48:52
 4  0      0 2613036  28964 494368    0    0     0     5  745 2123 59 41  0  0  0 2019-10-29 01:48:57
 4  0      0 2612144  28972 494420    0    0     0     3  837 2304 59 41  0  0  0 2019-10-29 01:49:02
 4  0      0 2614000  28980 494476    0    0     0    61  775 2101 59 41  0  0  0 2019-10-29 01:49:07
 5  0      0 2612692  28988 494528    0    0     0     5  801 2173 59 41  0  0  0 2019-10-29 01:49:12
 7  0      0 2614420  28996 494580    0    0     0     3  746 2096 61 39  0  0  0 2019-10-29 01:49:17
 3  0      0 2613176  29004 494624    0    0     0     3  792 2217 56 44  0  0  0 2019-10-29 01:49:22
 4  0      0 2611832  29012 494688    0    0     0    43  801 2168 61 39  0  0  0 2019-10-29 01:49:27
 5  0      0 3211244  29024 335768    0    0     0    31  310  492 56 44  0  0  0 2019-10-29 01:49:32
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 5  0      0 3186596  29032 335820    0    0     0    16  292  498 57 43  0  0  0 2019-10-29 01:49:37
 5  0      0 3170516  29032 335800    0    0     0     0  295  428 60 40  0  0  0 2019-10-29 01:49:42
 4  0      0 3160960  29040 335796    0    0     0     2  299  521 59 41  0  0  0 2019-10-29 01:49:47
 5  0      0 3154280  29048 335792    0    0     0     8  297  415 59 41  0  0  0 2019-10-29 01:49:52
 4  0      0 3150436  29056 335828    0    0     0     2  300  551 60 40  0  0  0 2019-10-29 01:49:57
 4  0      0 3143988  29064 335820    0    0     0    11  297  448 59 41  0  0  0 2019-10-29 01:50:02
 4  0      0 3139748  29064 335808    0    0     0    42  299  593 58 42  0  0  0 2019-10-29 01:50:07
 5  0      0 3101788  29072 335796    0    0     0     8  304  541 58 42  0  0  0 2019-10-29 01:50:12
 5  0      0 3089024  29080 335792    0    0     0     7  301  363 59 41  0  0  0 2019-10-29 01:50:17
 4  0      0 3075980  29088 335796    0    0     0     6  304  455 59 41  0  0  0 2019-10-29 01:50:22
 4  0      0 3066680  29096 335796    0    0     0     2  298  331 56 44  0  0  0 2019-10-29 01:50:27
 4  0      0 3057380  29096 335788    0    0     0     3  301  345 59 41  0  0  0 2019-10-29 01:50:32
